"course","lecture","lecture_content"
"http://example.org/APPLIED_ARTIFICIAL_INTELLIGENCE","http://example.org/AI_Lecture_One","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/AI_material/Lectures/01_intro_to_ai_and_history"
"http://example.org/APPLIED_ARTIFICIAL_INTELLIGENCE","http://example.org/AI_Lecture_One","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/AI_material/LabsCOMP6721_AI_Lab_1_Winter2024"
"http://example.org/APPLIED_ARTIFICIAL_INTELLIGENCE","http://example.org/AI_Lecture_One","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/AI_material/Labs/COMP6721_AI_Lab_1_Winter2024"
