"course","lecture","topic_uri"
"http://example.org/APPLIED_ARTIFICIAL_INTELLIGENCE","http://example.org/AI_Lecture_One","http://dbpedia.org/resource/Artificial_intelligence"
"http://example.org/APPLIED_ARTIFICIAL_INTELLIGENCE","http://example.org/AI_Lecture_One","http://dbpedia.org/resource/Artificial_intelligence"
"http://example.org/INTELLIGENT_SYSTEMS","http://example.org/IS_Lecture_One","http://dbpedia.org/resource/Artificial_intelligence"
"http://example.org/APPLIED_ARTIFICIAL_INTELLIGENCE","http://example.org/AI_Lecture_One","http://dbpedia.org/resource/Artificial_intelligence"
